ID,Name,Begin date,End date,Duration,Completion,Cost,Coordinator,Predecessors,Outline number,Resources,Assignments,Task color,Web Link,Notes
5,Analysis,08/10/19,21/10/19,10,0,0,,,1,,,,,
41,"  create scope boundaries and constraints",08/10/19,08/10/19,1,0,0,,,1.1,,,,,
14,"  Functional requirements",08/10/19,09/10/19,2,0,0,,,1.2,,,,,
109,"  Scope and Boundaries",08/10/19,09/10/19,2,0,0,,,1.3,,,,,
8,"  Create end user questionare",08/10/19,11/10/19,4,0,0,,,1.4,,,,,
10,"  create end user requirements",14/10/19,15/10/19,2,0,0,,8,1.5,,,,,
32,"  UML",14/10/19,21/10/19,6,0,0,,8,1.6,,,,,
28,Design,22/10/19,25/10/19,4,0,0,,5,2,,,,,
104,"  create top level flow chart",22/10/19,22/10/19,1,0,0,,,2.1,,,,,
86,"  Design and adapt dijkstras algorithm",22/10/19,22/10/19,1,0,0,,,2.2,,,,,
83,"  Design UI",22/10/19,24/10/19,3,0,0,,,2.3,,,,,
93,"  Design UI method",25/10/19,25/10/19,1,0,0,,83,2.4,,,,,
1,Implementation,28/10/19,17/01/20,60,0,0,,5;28,3,,,,,
0,"  Create dikijstras algorithm",28/10/19,31/10/19,4,0,0,,28,3.1,,,,,
21,"  Create crawler",01/11/19,21/11/19,15,0,0,,0,3.2,,,,,
27,"  SQL reader and writer",22/11/19,12/12/19,15,0,0,,21,3.3,,,,,Create the sql to save data into the database.
43,"  Create ui",13/12/19,19/12/19,5,0,0,,27,3.4,,,,,
47,"  Integrate parts",20/12/19,17/01/20,21,0,0,,43,3.5,,,,,
110,Testing,20/01/20,28/02/20,30,0,0,,47,4,,,,,
117,"  Create test plan for Components",20/01/20,28/01/20,7,0,0,,,4.1,,,,,
116,"  Create test plan for integration testing",29/01/20,03/02/20,4,0,0,,117,4.2,,,,,
120,"  Create test plan for test cases",04/02/20,05/02/20,2,0,0,,116,4.3,,,,,
124,"  Complete test plan for end user testing",06/02/20,06/02/20,1,0,0,,120,4.4,,,,,
127,"  Work through all testing, taking screenshots",07/02/20,26/02/20,14,0,0,,124,4.5,,,,,
130,"  Go back through and fix any errors found",27/02/20,28/02/20,2,0,0,,127,4.6,,,,,
134,Evaluation,02/03/20,03/03/20,2,0,0,,130,5,,,"#000000",,
137,"  Evaluate requirement spec",02/03/20,02/03/20,1,0,0,,,5.1,,,,,
140,"  Evaluate testing",03/03/20,03/03/20,1,0,0,,137,5.2,,,,,
143,Final polishing off,04/03/20,16/03/20,9,0,0,,140,6,,,,,
